영문공항명,한글공항명,공항코드1(IATA),한글국가명
Spriggs Payne Airport,스프릭스 페인 공항,MLW,라이베리아
Spring Point Airport,스프링 포인트 공항,AXP,바하마
SpringFieldBranson National Airport,스프링필드 브랜슨 내셔널 공항,SGF,미국
Srednekolymsk Airport,스레드네콜림스크 공항,SEK,러시아
Sri Guru Ram Dass Jee International Airport,스리 구루 람 다스 지 국제공항,ATQ,인도
Sri Sathya Sai Airport,스리 사티아 사이 공항,PUT,인도
St Gallen-Altenrhein Airport,장크트갈렌 알텐라인 공항,ACH,스위스
St George Airport,세인트 조지 공항,SGO,오스트레일리아
St Mary's Airport,세인트 메리스 공항,ISC,영국
St. Anthony Airport,세인트 안토니 공항,YAY,캐나다
St. Catherine International Airport,세인트 캐서린 국제 공항,SKV,이집트
St. Clair County International Airport,세인트 클레어 카운티 국제 공항,PHN,미국
St. Cloud Regional Airport,세인트 클라우드 공항,STC,미국
St. George Airport,세인트 조지 공항,STG,미국
St. George Regional Airport,세인트 조지 공항,SGU,미국
St. John's International Airport,세인트 존스 국제 공항,YYT,캐나다
St. Lewis Airport,세인트 루이스 공항,YFX,캐나다
St. Louis Downtown Airport,세인트루이스 다운타운 공항,CPS,미국
St. Mary's Airport,세인트 메리스 공항,KSM,미국
St. Michael Airport,세인트 마이클 공항,SMK,미국
St. Paul Island Airport,세인트폴 아일랜드 공항,SNP,미국
St. Pete Clearwater International Airport,세인트피트 클리어워터 국제공항,PIE,미국
St. Theresa Point Airport,세인트 테레사 포인트 공항,YST,캐나다
Staniel Cay Airport,스타니엘 케이 공항,TYM,바하마
State College Regional Airport,스테이트 칼리지 지역공항,SCE,미국
Stavanger Airport Sola,스타방에르 공항 솔라,SVG,노르웨이
Stavropol Shpakovskoye Airport,스타브로폴 슈파콥스코예 공항,STW,러시아
Steamboat Springs Airport,스팀보트 스프링스 공항,SBS,미국
Stebbins Airport,스테빈스 공항,WBB,미국
Stella Maris Airport,스텔라 마리스 공항,SML,바하마
Stepanavan Airport,스테파나반 공항,n/a,아르메니아
Stephenville International Airport,스테판빌 국제 공항,YJT,캐나다
Stevens Village Airport,스티븐스 빌리지 공항,SVS,미국
Stewart International Airport,스튜어트 국제 공항,SWF,미국
Stillwater Regional Airport,스틸워터 공항,SWO,미국
Stinson Municipal Airport,스틴슨 공항,SSF,미국
Stockholm Arlanda Airport,스톡홀름 알란다 공항,ARN,스웨덴
Stockholm Bromma Airport,스톡홀름 브롬마 공항,BMA,스웨덴
Stockholm Skavsta Airport,스톡홀름 스카브스타 공항,NYO,스웨덴
Stockholm VAsteras Airport,스톡홀름 베스테로스 공항,VST,스웨덴
Stockton Metropolitan Airport,스톡턴 메트로폴리탄 공항,SCK,미국
Stokmarknes Airport Skagen,스톡마크네스 공항,SKN,노르웨이
Stony Rapids Airport,스토니래피즈 공항,YSF,캐나다
Stony River Airport,스토니 리버 공항,SRV,미국
Stord Airport Sorstokken,스트로드 공항,SRP,노르웨이
Stornoway Airport,스토노웨이 공항,SYY,영국
Storuman Airport,스토루만 공항,SQO,스웨덴
Strahan Airport,스트라한 공항,SRN,오스트레일리아
Strasbourg Airport,스트라스부르 공항,SXB,프랑스
Straubing Wallmhle Airport,스트라우빙 발뮐레 공항,RBM,독일
Strezhevoy Airport,스트레체보이 공항,SWT,러시아
Stronsay Airport,스트론세이 공항,SOY,영국
Stuart Island Airstrip,스튜어트 아일랜드 활주로,YRR,캐나다
Stupino Airport,스투피노 공항,n/a,러시아
Stuttgart Airport,슈투트가르트 공항,STR,독일
Stuttgart Municipal Airport,슈투트가르트 공항,SGT,미국
Suavanao Airport,수아바나오 공항,VAO,솔로몬 제도
Subic Bay International Airport,수빅 베이 국제 공항,SFS,필리핀
Suceava International Airport,수체아바 국제공항,SCV,루마니아
Sudbury Airport,서드베리 공항,YSB,캐나다
Sugimanuru Airport,스기마누루 공항,RAQ,인도네시아
Sui Airport,수이공항,SUL,파키스탄
Suifenhe Dongning Airport,수이펀허 동닝 공항,HSF,중국
Sukhothai Airport,수코타이 공항,THS,태국
Sukhumi Babushara Airport,수쿠미 바부샤라 공항,SUI,조지아
Suki Airport,스키 공항,SKC,파푸아뉴기니
Sukkur Airport,수쿠르 공항,SKZ,파키스탄
Sulaimaniyah International Airport,술라이마니야 국제공항,ISU,이라크
Sullivan Bay Water Aerodrome,설리번 베이 수상 비행장,YTG,캐나다
Sulphur Springs Municipal Airport,설파 스프링스 공항,SLR,미국
Sultan Abdul Aziz Shah Airport,술탄 압둘 아지즈 샤 공항,SZB,말레이시아
Sultan Abdul Halim Airport,술탄 압둘 할림 공항,AOR,말레이시아
Sultan Aji Muhammad Sulaiman Airport,술탄 아지 무하마드 술라이만 공항,BPN,인도네시아
Sultan Azlan Shah Airport,술탄 아즐란 샤 공항,IPH,말레이시아
Sultan Babullah Airport,술탄 바불라 공항,TTE,인도네시아
Sultan Bantilan Airport,술탄 반티란 공항,TLI,인도네시아
Sultan Haji Ahmad Shah Airport,술탄 하지 아흐마드 샤 공항,KUA,말레이시아
Sultan Hasanuddin International Airport,술탄 하사누딘 국제공항,UPG,인도네시아
Sultan Iskandar Muda International Airport,술탄 이스칸다르 무다 국제공항,BTJ,인도네시아
Sultan Ismail Petra Airport,술탄 이스마일 페트라 공항,KBR,말레이시아
Sultan Mahmud Airport,술탄 마흐무드 공항,TGG,말레이시아
Sultan Mahmud Badaruddin II International Airport,술탄 마흐무드 바다루딘 II 국제공항,PLM,인도네시아
Sultan Muhammad Kaharuddin III Airport,술탄 무하마드 카하루딘 3세 공항,SWQ,인도네시아
Sultan Muhammad Salahudin Airport,술탄 무하마드 살라후딘 공항,BMU,인도네시아
Sultan Syarif Kasim II International Airport,술탄 샤리프 카심 2세 국제공항,PKU,인도네시아
Sultan Thaha Airport,술탄 타하 공항,DJB,인도네시아
Sumarorong Mamasa Airport,수마로롱 마마사 공항,n/a,인도네시아
Sumbawanga Airport,숨바왕가 공항,SUT,탄자니아
Sumburgh Airport,섬버그 공항,LSI,영국
Summer Beaver Airport,서머 비버 공항,SUR,캐나다
Sumy Airport,수미 공항,UMY,우크라이나
Sunan Shuofang International Airport,쑤난 슈오팡 국제공항,WUX,중국
Sunchales Aeroclub Airport,순찰레스 에어로클럽 공항,NCJ,아르헨티나
Sundsvall Timra Airport,순스발 티므루 공항,SDL,스웨덴
Sunshine Coast Airport,선샤인 코스트 공항,MCY,오스트레일리아
Suntar Airport,순타르 공항,SUY,러시아
Sunyani Airport,쑤냐니 공항,NYI,가나
Supadio Airport,수파디오 공항,PNK,인도네시아
Surat Airport,수랏 공항,STV,인도
Surat Thani Airport,수랏타니 공항,URT,태국
Surgut International Airport,수르구트 국제공항,SGC,러시아
Surigao Airport,수리가오 공항,SUG,필리핀
Surkhet Airport,수르케트 공항,SKH,네팔
Suvarnabhumi Airport,수완나품 공항,BKK,태국
Suwalki Airport,수발키 공항,n/a,폴란드
Svalbard Airport Longyear,스발바르 공항 롱이어,LYR,노르웨이
Sveg Airport,스베그 공항,EVG,스웨덴
Svetlaya Airport,스베틀라야 공항,ETL,러시아
Svolvaer Airport Helle,스볼베르 공항,SVJ,노르웨이
Swami Vivekananda Airport,스와미 비베카난다 공항,RPR,인도
Swan River Airport,스완 리버 공항,ZJN,캐나다
Swansea Airport,스완지 공항,SWS,영국
Syamsudin Noor Airport,샴수단 누르 공항,BDJ,인도네시아
Sydney Airport,시드니 공항,SYD,오스트레일리아
Syktyvkar Airport,식티브카르 공항,SCW,러시아
Sylt Airport,실트 공항,GWT,독일
Syracuse Hancock International Airport,시러큐스 핸콕 국제 공항,SYR,미국
Syros Island National Airport,시로스 아일랜드 내셔널 공항,JSY,그리스
Syukuran Aminuddin Amir Airport,슈쿠란 아미누딘 아미르 공항,LUW,인도네시아
Syunik Airport,슈니크 공항,n/a,아르메니아
Taba International Airport,타바 국제 공항,TCP,이집트
Tabarka Ain Draham International Airport,타바르카 아인 드라함 국제공항,TBJ,튀니지
Tabas Airport,타바스 공항,TCX,이란
Tabatinga International Airport,타바팅가 국제공항,TBT,브라질
Tabiteuea North Airport,타비테우에아 북공항,TBF,키리바시
Tabiteuea South Airport,타비테우에아 사우스 공항,TSU,키리바시
Tabora Airport,타보라 공항,TBO,탄자니아
Tabriz International Airport,타브리즈 국제 공항,TBZ,이란
Tabubil Airport,타부빌 공항,TBG,파푸아뉴기니
Tabuk Regional Airport,타부크 공항,TUU,사우디아라비아
Tacheng Airport,타청 공항,TCG,중국
Tachilek Airport,타칠렉 공항,THL,미얀마
Tacoma Narrows Airport,타코마 내로스 공항,TIW,미국
Tadoule Lake Airport,타둘레 레이크 공항,XTL,캐나다
Taganrog Airport,타간로크 공항,TGK,러시아
Tahoua Airport,타후아 공항,THZ,니제르
Taichung Airport,타이중 공항,RMQ,대만
Ta'if Regional Airport,타이프 공항,TIF,사우디아라비아
Tainan Airport,타이난 공항,TNN,대만
Taipei Songshan Airport,타이베이 쑹산 공항,TSA,대만
Taisha Airport,타이샤 공항,n/a,에콰도르
Taitung Airport,타이동 공항,TTT,대만
Taiwan Taoyuan International Airport,타이완 타오위안 국제공항,TPE,대만
Taiyuan Wusu International Airport,타이위안 우수 국제공항,TYN,중국
Taiz International Airport,타이즈 국제 공항,TAI,예멘
Taizhou Luqiao Airport,타이저우 루차오 공항,HYN,중국
Tajima Airport,다지마 공항,TJH,일본
Tak Airport,탁 공항,TKT,태국
Takaka Aerodrome,다카카 비행장,KTF,뉴질랜드
Takamatsu Airport,다카마쓰 공항,TAK,일본
Takapoto Airport,다카포토 공항,TKP,프랑스령 폴리네시아
Takaroa Airport,다카로아 공항,TKX,프랑스령 폴리네시아
Takhamalt Airport,타카말트 공항,VVZ,알제리
Takoradi Airport,타코라디 공항,TKD,가나
Takotna Airport,타코트나 공항,TCT,미국
Takume Airport,다쿠메 공항,TJN,프랑스령 폴리네시아
Talagi Airport,탈라기 공항,ARH,러시아
Talakan Airport,탈라칸 공항,TLK,러시아
Talas Airport,탈라스 공항,n/a,키르기스스탄
Taldykorgan Airport,탈디코간 공항,TDK,카자흐스탄
Tallahassee International Airport,탤러해시 국제 공항,TLH,미국
Tallinn Airport,탈린 공항,TLL,에스토니아
Taloyoak Airport,탈로요크 공항,YYH,캐나다
Tam Ky Airport,땀껑 공항,TMK,베트남
Tamale Airport,타말레 공항,TML,가나
Tamana Airport,다마나 공항,TMN,키리바시
Tamarindo Airport,타마린도 공항,TNO,코스타리카
Tambacounda Airport,탐바쿤다 공항,TUD,세네갈
Tambelan Airport,탐벨란 공항,TBX,인도네시아
Tambor Airport,탐보르 공항,TMU,코스타리카
Tambov Donskoye Airport,탐보프 돈스코예 공항,TBW,러시아
Tambrauw Werur Airport,탐브라우 웨루르 공항,n/a,인도네시아
Tamenghest Aguenar Airport,타만라세트 공항,TMR,알제리
Tampa International Airport,탬파 국제 공항,TPA,미국
Tampa Padang Airport,탬파 파당 공항,MJU,인도네시아
Tampere Pirkkala Airport,탐페레 피르칼라 공항,TMP,핀란드
TamuIn National Airport,타무인 공항,TSL,멕시코
Tamworth Airport,탬워스 공항,TMW,오스트레일리아
Tan Son Nhat International Airport,탄손누트 국제공항,SGN,베트남
Tan Tan Airport,탄탄 공항,TTA,모로코
Tana Toraja Airport,타나 토라자 공항,TRT,인도네시아
Tanah Merah Airport,타나 메라 공항,TMH,인도네시아
Tancredo Neves International Airport,탄크레도 네베스 국제공항,CNF,브라질
Tandag Airport,탄다그 공항,TDG,필리핀
Tanga Airport,탕가 공항,TGT,탄자니아
Tangara da Serra Airport,탕가라 다 세라 공항,TGQ,브라질
Tangerang Budiarto Airport,탕에랑 부디아르토 공항,RTO,인도네시아
Tangier Ibn Battouta Airport,탕헤르 이븐 바투타 공항,TNG,모로코
Tangshan Sannhe Airport,탕산 산뉘허 공항,TVS,중국
Tanjung Harapan Airport,탄중 하라판 공항,TJS,인도네시아
Tanjung Manis Airport,탄중 마니스 공항,TGC,말레이시아
Taos Regional Airport,타오스 지역공항,TSM,미국
Tapachula International Airport,타파출라 국제공항,TAP,멕시코
Tapini Airport,타피니 공항,TPI,파푸아뉴기니
Taplejung Airport,타평정 공항,TPJ,네팔
Tapuruquara Airport,타푸루콰라 공항,IRZ,브라질
Tarama Airport,타라마 공항,TRA,일본
Taranto Grottaglie Airport,타란토 그로타글리 공항,TAR,이탈리아
Tarapaca Airport,타라파카 공항,TCD,콜롬비아
Tarapoa Airport,타라포아 공항,TPC,에콰도르
Taraz Airport,타라즈 공항,DMB,카자흐스탄
Tarbes Lourdes Pyrenees Airport,타르브 루르드 피레네 공항,LDE,프랑스
Taree Airport,타리 공항,TRO,오스트레일리아
Targu Mures International Airport,타르구 무레슈 국제공항,TGM,루마니아
Tari Airport,타리 공항,TIZ,파푸아뉴기니
Tarinkot Airport,타린코트 공항,TII,아프가니스탄
Tarko Sale Airport,타르코살레 공항,TQL,러시아
Taroom Airport,타룸 공항,XTO,오스트레일리아
Tartagal Airport,타르타갈 공항,TTG,아르헨티나
Tartu Airport,타르투 공항,TAY,에스토니아
Tashkent International Airport,타슈켄트 국제 공항,TAS,우즈베키스탄
Tashkurgan Airport,타슈쿠르간 공항,HQL,중국
Tashtagol Airport,타스타골 공항,n/a,러시아
Tasiilaq Airport,타실라크 공항,AGM,그린란드
Tasikmalaya Airport,타식말라야 공항,TSY,인도네시아
Tasiujaq Airport,타시우자크 공항,YTQ,캐나다
Tatakoto Airport,다타코토 공항,TKV,프랑스령 폴리네시아
Tatalina LRRS Airport,타탈리나 LRRS 공항,TLJ,미국
Tatitlek Airport,타타이틀크 공항,TEK,미국
Taupo Airport,타우포 공항,TUO,뉴질랜드
Tauranga Airport,타우랑가 공항,TRG,뉴질랜드
Tawau Airport,타와우 공항,TWU,말레이시아
Tazadit Airport,타자디트 공항,OUZ,모리타니아
Tbilisi International Airport,트빌리시 국제 공항,TBS,조지아
Te Anau Airport,테아나우 공항,TEU,뉴질랜드
Tebelian Airport,테벨리안 공항,SQG,인도네시아
Tebessa Airport,테베사 공항,TEE,알제리
Ted Stevens Anchorage International Airport,테드 스티븐스 앵커리지 국제 공항,ANC,미국
Teesside International Airport,티스사이드 국제 공항,MME,영국
Tefe Airport,테페 공항,TFF,브라질
Tehran Imam Khomeini International Airport,테헤란 이맘 호메이니 국제 공항,IKA,이란
Tehuacan Airport,테우아칸 공항,TCN,멕시코
Teixeira de Freitas Airport,테세이라 데 프레이타스 공항,TXF,브라질
Tekirdag corlu Airport,테키르다 촐루 공항,TEQ,터키
Tela Airport,텔라 공항,TEA,온두라스
Telavi Erekle II Airport,텔라비 에레클레 2세 공항,n/a,조지아
Telfer Airport,텔퍼 공항,TEF,오스트레일리아
Teller Airport,텔러 공항,TLA,미국
Telluride Regional Airport,텔루라이드 지역공항,TEX,미국
Telupid Airport,텔루피드 공항,TEL,말레이시아
Ten. Cel. Av. Cesar Bombonato Airport,우벨란디아 공항,UDI,브라질
Tenakee Seaplane Base,테나키 수상비행기 기지,TKE,미국
Tenerife North Airport,테네리페 북부 공항,TFN,스페인
Tenerife South Airport,테네리페 남부 공항,TFS,스페인
Tengchong Tuofeng Airport,텅충 투오펑 공항,TCZ,중국
Teniente Amin Ayub Gonzalez Airport,테니엔테 아민 아유브 곤잘레스 공항,ENO,파라과이
Teniente Coronel Luis a Mantilla International Airport,테니엔테 코로넬 루이스 아 만티야 국제공항,TUA,에콰도르
Teniente General BenjamIn Matienzo International Airport,테니엔테 제네랄 벤하민 마티엔조 국제공항,TUC,아르헨티나
Teniente Jorge Henrich Arauz Airport,테니엔테 호르헤 헨리히 아라우즈 공항,TDD,볼리비아
Teniente Julio Gallardo Airport,테니엔테 훌리오 가야르도 공항,PNT,칠레
Tennant Creek Airport,테넌트 크릭 공항,TCA,오스트레일리아
Tenzing Hillary Airport,텐징 힐러리 공항,LUA,네팔
Teply Klyuch Airport,테플리 클류치 공항,KDY,러시아
Teresina Senador Petronio Portella Airport,테레지나 세나도르 페트로니우 포르텔라 공항,THE,브라질
Termas de RIo Hondo Airport,테르마스 데 리오 혼도 공항,RHD,아르헨티나
Termez Airport,테르메스 공항,TMJ,우즈베키스탄
Terney Airport,터니 공항,NEI,러시아
Ternopil Airport,테르노필 공항,n/a,우크라이나
Terrance B. Lettsome International Airport,테런스 B. 레섬 국제공항,EIS,영국령 버진아일랜드
Terre Haute International Airport,테레 호트 국제공항,HUF,미국
Teruel Airport,테루엘 공항,TEV,스페인
Teteala Baleine Airport,테트아라발레인 공항,ZTB,캐나다
Teterboro Airport,테터보로 공항,TEB,미국
Texada/Gillies Bay Airport,텍사다/길리스베이 공항,YGB,캐나다
Texarkana Regional Airport,텍사캐나 지역공항,TXK,미국
Tezpur Airport,테즈퍼 공항,TEZ,인도
Tezu Airport,테즈 공항,TEI,인도
Thandwe Airport,탄드웨 공항,SNW,미얀마
Thangool Airport,탄굴 공항,THG,오스트레일리아
Thargomindah Airport,달고민다 공항,XTG,오스트레일리아
The Eastern Iowa Airport,이스턴 아이오와 공항,CID,미국
The Granites Airport,더 그래니테스 공항,GTS,오스트레일리아
The Monument Airport,모뉴먼트 공항,PHQ,오스트레일리아
The Pas Airport,파스 공항,YQD,캐나다
Theodore Francis Green State Airport,시어도어 프랜시스 그린 스테이트 공항,PVD,미국
Thessaloniki Airport,테살로니키 공항,SKG,그리스
Thief River Falls Regional Airport,시프 리버 폴스 공항,TVF,미국
Thimarafushi Airport,티마라푸시 공항,TMF,몰디브
Tho Xuan Airport,토 쑤언 공항,THD,베트남
Thompson Airport,톰슨 공항,YTH,캐나다
Thorne Bay Seaplane Base,쏜 베이 수상비행기 기지,KTB,미국
Thorshofn Airport,토르쇼픈 공항,THO,아이슬란드
Thunder Bay International Airport,선더 베이 국제 공항,YQT,캐나다
Tianjin Binhai International Airport,톈진 빈하이 국제공항,TSN,중국
Tianshui Maijishan Airport,톈수이 마이지산 공항,THQ,중국
Tiga Airport,티가 공항,TGJ,뉴칼레도니아
Tijuana International Airport,티후아나 국제 공항,TIJ,멕시코
Tikehau Airport,티케하우 공항,TIH,프랑스령 폴리네시아
Tiksi Airport,틱시 공항,IKS,러시아
Timbiqui Airport,팀비키 공항,TBD,콜롬비아
Timbuktu Airport,팀북투 공항,TOM,말리
Timimoun Airport,티모운 공항,TMX,알제리
Timisoara Traian Vuia International Airport,티미쇼아라 트라이안 부이아 국제공항,TSR,루마니아
Timmins Victor M. Power Airport,티민스 빅터 M. 파워 공항,YTS,캐나다
Tin City LRRS Airport,틴 시티 LRRS 공항,TNC,미국
Tindouf Airport,틴두프 공항,TIN,알제리
Tingo MarIa Airport,팅고 마리아 공항,TGI,페루
Tingwall Airport,팅월 공항,LWK,영국
Tinian International Airport,티니안 국제공항,TIQ,북마리아나 제도
Tinson Pen Aerodrome,틴슨 펜 비행장,KTP,자메이카
Tioman Airport,티오만 공항,TOD,말레이시아
Tirana International AirportNene Tereza,티라나 국제공항Nene Tereza,TIA,알바니아
Tiree Airport,티리 공항,TRE,영국
Tiruchirappalli International Airport,티루치라팔리 국제공항,TRZ,인도
Tirupati Airport,티루파티 공항,TIR,인도
Tiska Djanet Airport,티스카 자네트 공항,DJG,알제리
Tissa Tank Waterdrome,티사 탱크 워터드롬,TTW,스리랑카
Tivat Airport,티밧 공항,TIV,몬테네그로
Tjilik Riwut Airport,질리크 리우트 공항,PKY,인도네시아
Tnte. FAP Jaime Montreuil Morales Airport,테니엔테 FAP 하이메 몽트뢰유 모랄레스 공항,CHM,페루
Toamasina Airport,토아마시나 공항,TMM,마다가스카르
TobIas Bolanos International Airport,토비아스 볼라뇨스 국제 공항,SYQ,코스타리카
Tobolsk Remezov Airport,토볼스크 레메조프 공항,RMZ,러시아
Tobruk Airport,토브룩 공항,TOB,리비아
Toccoa Airport,토코아 공항,TOC,미국
Tocumen International Airport,토쿠멘 국제 공항,PTY,파나마
Tofino Long Beach Airport,토피노 롱비치 공항,YAZ,캐나다
Togiak Airport,토기악 공항,TOG,미국
Tojo Una Una Tanjung Api Airport,도조 우나 우나 탄중 아피 공항,OJU,인도네시아
Tok Junction Airport,톡 정션 공항,TKJ,미국
Tokachi Obihiro Airport,도카치 오비히로 공항,OBO,일본
Tokat Airport,토캇 공항,TJK,터키
Toksook Bay Airport,톡숙베이 공항,OOK,미국
Tokunoshima Airport,도쿠노시마 공항,TKN,일본
Tokushima Airport,도쿠시마 공항,TKS,일본
Tolanaro Airport,톨라나로 공항,FTU,마다가스카르
Toledo Express Airport,톨레도 익스프레스 공항,TOL,미국
Toliara Airport,톨리아라 공항,TLE,마다가스카르
Tolmachevo Airport,톨마체보 공항,OVB,러시아
Tomas de Heres Airport,토마스 데 에레스 공항,CBL,베네수엘라
ToncontIn International Airport,톤콘틴 국제 공항,TGU,온두라스
Tonghua Sanyuanpu Airport,퉁화 싼위안푸 공항,TNH,중국
Tongliao Airport,퉁랴오 공항,TGO,중국
Tongoa Airport,통고아 공항,TGH,바누아투
Tongren Fenghuang Airport,퉁런 펑황 공항,TEN,중국
Toowoomba City Aerodrome,투움바 시티 비행장,TWB,오스트레일리아
Toowoomba Wellcamp Airport,투움바 웰캠프 공항,WTB,오스트레일리아
Topeka Regional Airport,토피카 공항,FOE,미국
Toronto Pearson International Airport,토론토 피어슨 국제 공항,YYZ,캐나다
TORP Sandefjord Airport,TORP 산데피오르드 공항,TRF,노르웨이
Torres Airport,토레스 공항,TOH,바누아투
Torres Airport,토레스 공항,TSQ,브라질
Torsby Airport,토스비 공항,TYF,스웨덴
Tortoli Airport,토르톨리 공항,TTB,이탈리아
Tortuguero Airport,토르투게로 공항,TTQ,코스타리카
Tosontsengel Airport,토손첸겔 공항,TNZ,몽골
Totegegie Airport,톳트제리 공항,GMR,프랑스령 폴리네시아
Tottori Airport,돗토리 공항,TTJ,일본
Touho Airport,동방 공항,TOU,뉴칼레도니아
Toulon Hyeres Airport,툴롱 예르 공항,TLN,프랑스
Toulouse Blagnac Airport,툴루즈 블라냑 공항,TLS,프랑스
Toulouse Francazal Airport,툴루즈 프랑카잘 공항,n/a,프랑스
Tours Val de Loire Airport,투르 발 드 루아르 공항,TUF,프랑스
Toussaint L'Ouverture International Airport,투생 루베르튀르 국제공항,PAP,아이티
Townsville Airport,타운스빌 공항,TSV,오스트레일리아
Toyama Airport,도야마 공항,TOY,일본
Tozeur Nefta International Airport,토제르 네프타 국제공항,TOE,튀니지
Trabzon Airport,트라브존 공항,TZX,터키
Trail Airport,트레일 공항,YZZ,캐나다
Trang Airport,짱 공항,TST,태국
Trat Airport,뜨랏 공항,TDX,태국
Treasure Cay Airport,트레저 케이 공항,TCB,바하마
Trenton Mercer Airport,트렌턴 머서 공항,TTN,미국
Trepell Airport,트레펠 공항,TQP,오스트레일리아
Tres Coracoes Airport,쓰리 코라코이스 공항,n/a,브라질
Tres de Mayo Airport,트레즈 데 마요 공항,PUU,콜롬비아
Treviso Sant'Angelo Airport,트레비소 산탄젤로 공항,TSF,이탈리아
Tri Cities Airport,트라이 시티 공항,PSC,미국
Tri Cities Regional Airport,트라이 시티스 공항,TRI,미국
Tri State Airport,트라이 스테이트 공항,HTS,미국
Tribhuvan International Airport,트리부반 국제공항,KTM,네팔
Trieste Airport,트리에스테 공항,TRS,이탈리아
Tripoli International Airport,트리폴리 국제 공항,TIP,리비아
Trivandrum International Airport,트리반드룸 국제 공항,TRV,인도
Trois Rivieres Airport,트루아 리비에르 공항,YRQ,캐나다
TrollhAttan VAnersborg Airport,트롤헤탄 베너스보르 공항,THN,스웨덴
Tromso Airport,트롬쇠 공항,TOS,노르웨이
Trondheim Airport,트론헤임 공항,TRD,노르웨이
Troyes Barberey Airport,트루아 바르베리 공항,QYR,프랑스
Truckee Tahoe Airport,트러키 타호 공항,TKF,미국
Trujillo Airport,트루히요 공항,TJI,온두라스
Trunojoyo Airport,트루노조요 공항,SUP,인도네시아
Tshikapa Airport,치카파 공항,TSH,콩고 민주공화국
Tsiroanomandidy Airport,치로아노만디디 공항,WTS,마다가스카르
Tsushima Airport,쓰시마 공항,TSJ,일본
Tuanku Tambusai Airport,투안쿠 탐부사이 공항,PPR,인도네시아
Tubala Airport,투발라 공항,TUW,파나마
Tubuai Mataura Airport,투부아이 마타우라 공항,TUB,프랑스령 폴리네시아
Tucson International Airport,투손 국제 공항,TUS,미국
TucuruI Airport,투쿠루이 공항,TUR,브라질
Tufi Airport,투피 공항,TFI,파푸아뉴기니
Tugdan Airport,툭단 공항,TBH,필리핀
Tuguegarao Airport,투게가라오 공항,TUG,필리핀
Tuktoyaktuk/James Gruben Airport,툭토야크툭/제임스 그루벤 공항,YUB,캐나다
Tulcea Danube Delta Airport,툴체아 다뉴브 델타 공항,TCE,루마니아
Tulita Airport,툴리타 공항,ZFN,캐나다
Tulsa International Airport,털사 국제 공항,TUL,미국
Tuluksak Airport,툴룩삭 공항,TLT,미국
Tulum International Airport,툴룸 국제 공항,TQO,멕시코
Tumbang Samba Airport,툼방 삼바 공항,TBM,인도네시아
Tumlingtar Airport,툼링타르 공항,TMI,네팔
Tumxuk Tangwangcheng Airport,툼쑥 탕왕청 공항,TWC,중국
Tunggul Wulung Airport,퉁굴 우룽 공항,CXP,인도네시아
Tunica Municipal Airport,투니카 시립공항,UTM,미국
Tunis Carthage International Airport,튀니스 카르타고 국제공항,TUN,튀니지
Tunoshna Airport,투노쉬나 공항,IAR,러시아
Tuntutuliak Airport,툰투툴리악 공항,WTL,미국
Tununak Airport,투누낙 공항,TNK,미국
Tupelo Regional Airport,투펠로 공항,TUP,미국
Tupile Airport,투필레 공항,TUE,파나마
Turaif Domestic Airport,투라이프 국내선 공항,TUI,사우디아라비아
Turbat International Airport,투르바트 국제 공항,TUK,파키스탄
Tureia Airport,투레이아 공항,ZTA,프랑스령 폴리네시아
Turin Airport,토리노 공항,TRN,이탈리아
Turkmenabat Airport,투르크메나바트 공항,CRZ,투르크메니스탄
Turkmenbashi International Airport,투르크멘바시 국제공항,KRW,투르크메니스탄
Turku Airport,투르쿠 공항,TKU,핀란드
Turpan Jiaohe Airport,투르판 자오허 공항,TLQ,중국
Turukhansk Airport,투루한스크 공항,THX,러시아
Tuscaloosa Regional Airport,터스컬루사 공항,TCL,미국
Tuticorin Airport,투티코린 공항,TCR,인도
Tuuta Airport,투우타 공항,CHT,뉴질랜드
Tuzla International Airport,투즐라 국제 공항,TZL,보스니아 헤르체고비나
Tweed New Haven Airport,트위드 뉴 헤이븐 공항,HVN,미국
Twin Hills Airport,트윈 힐스 공항,TWA,미국
Tyler Pounds Regional Airport,타일러 파운즈 공항,TYR,미국
Tynda Airport,틴다 공항,TYD,러시아
Tyndall Air Force Base,틴달 공군기지,PAM,미국
U Tapao International Airport,우타파오 국제공항,UTP,태국
Ua Huka Airport,우아후카 공항,UAH,프랑스령 폴리네시아
Ua Pou Airport,우아포우 공항,UAP,프랑스령 폴리네시아
Ubari Airport,우바리 공항,QUB,리비아
Ubatuba Airport,우바투바 공항,UBT,브라질
Ubon Ratchathani Airport,우본랏차타니 공항,UBP,태국
Udon Thani International Airport,우돈타니 국제공항,UTH,태국
Ufa International Airport,우파 국제 공항,UFA,러시아
Ugashik Airport,우가시크 공항,UGS,미국
Ugolny Airport,우골니 공항,DYR,러시아
UIge Airport,위제 공항,UGO,앙골라
Ujae Airport,우재공항,UJE,마샬 군도
Ukhta Airport,우흐타 공항,UCT,러시아
Ukunda Airport,우쿤다 공항,UKA,케냐
Ulaangom Airport,울란곰 공항,ULO,몽골
Ulanhot Airport,울란하오터 공항,HLH,중국
Ulanqab Airport,울란차브 공항,UCB,중국
Ulawa Airport,울라와 공항,RNA,솔로몬 제도
Ulei Airport,울레이 공항,ULB,바누아투
Ulsan Airport,울산공항,USN,대한민국
